Row Labels,Monetory,Frequency,Max of InvoiceDate,Current Date,Recency,Monetory Score,Frequency Score,Recency Score,RFM ,RFM Score,Segment Name,,,,
12442,172.06,12,06-12-2011,09-12-2011,3,1,1,10,12,3,At Risk/ Need Attention,,,,
12444,5005.46,177,18-11-2011,09-12-2011,21,9,8,8,25,8,Top Customer,,,,
12445,133.4,4,17-11-2011,09-12-2011,22,0,0,7,7,1,At Risk/ Need Attention,,,,
12446,1002.31,58,13-10-2011,09-12-2011,57,6,5,5,16,5,Loyal customer,,,,
12447,476.49,26,10-04-2011,09-12-2011,243,4,3,2,9,2,At Risk/ Need Attention,,,,
12448,449.45,22,26-10-2011,09-12-2011,44,3,3,6,12,3,At Risk/ Need Attention,,,,
12449,4067.29,191,17-11-2011,09-12-2011,22,9,8,7,24,8,Top Customer,,,,
12450,197.88,8,06-07-2011,09-12-2011,156,1,1,3,5,0,immediate Attention,,,,
12451,8933.52,355,29-11-2011,09-12-2011,10,9,9,9,27,9,Top Customer,,,,
12452,428.57,23,23-11-2011,09-12-2011,16,3,3,8,14,4,At Risk/ Need Attention,,,,
12453,707.09,43,28-07-2011,09-12-2011,134,5,5,3,13,4,At Risk/ Need Attention,,,,
12454,-5.68E-14,30,17-10-2011,09-12-2011,53,0,4,5,9,2,At Risk/ Need Attention,,,,
12455,2466.86,90,27-09-2011,09-12-2011,73,8,7,4,19,6,Loyal customer,,,,
12456,3153.89,129,26-10-2011,09-12-2011,44,8,8,6,22,7,Loyal customer,,,,
12457,1917.78,68,12-10-2011,09-12-2011,58,7,6,5,18,6,Loyal customer,,,,
12458,947.4,38,29-09-2011,09-12-2011,71,6,4,5,15,5,Loyal customer,,,,
12461,826.88,35,06-09-2011,09-12-2011,94,5,4,4,13,4,At Risk/ Need Attention,,,,
12462,1124.01,72,07-12-2011,09-12-2011,2,6,6,10,22,7,Loyal customer,,,,
12463,1303.63,88,24-10-2011,09-12-2011,46,6,7,6,19,6,Loyal customer,,,,
12464,1212.05,29,29-11-2011,09-12-2011,10,6,3,9,18,6,Loyal customer,,,,
12465,733.89,51,02-12-2011,09-12-2011,7,5,5,9,19,6,Loyal customer,,,,
12468,724.04,40,19-07-2011,09-12-2011,143,5,4,3,12,3,At Risk/ Need Attention,,,,
12471,18740.92,531,07-12-2011,09-12-2011,2,9,9,10,28,9,Top Customer,,,,
12472,6229.48,391,09-11-2011,09-12-2011,30,9,9,7,25,8,Top Customer,,,,
12473,2848.23,179,10-11-2011,09-12-2011,29,8,8,7,23,8,Top Customer,,,,
12474,7116.47,457,22-11-2011,09-12-2011,17,9,9,8,26,9,Top Customer,,,,
12475,723.38,36,17-10-2011,09-12-2011,53,5,4,5,14,4,At Risk/ Need Attention,,,,
12476,6546.58,264,08-12-2011,09-12-2011,1,9,9,10,28,9,Top Customer,,,,
12477,13117.01,308,17-11-2011,09-12-2011,22,9,9,7,25,8,Top Customer,,,,
12478,680.99,36,06-12-2011,09-12-2011,3,5,4,10,19,6,Loyal customer,,,,
12479,477.3,35,06-12-2011,09-12-2011,3,4,4,10,18,6,Loyal customer,,,,
12480,3281.63,154,11-11-2011,09-12-2011,28,8,8,7,23,8,Top Customer,,,,
12481,5590.86,218,17-11-2011,09-12-2011,22,9,9,7,25,8,Top Customer,,,,
12483,2327.13,81,22-11-2011,09-12-2011,17,8,6,8,22,7,Loyal customer,,,,
12484,4495.27,350,07-11-2011,09-12-2011,32,9,9,6,24,8,Top Customer,,,,
12488,1298.66,55,30-11-2011,09-12-2011,9,6,5,9,20,7,Loyal customer,,,,
12489,334.93,15,07-01-2011,09-12-2011,336,2,2,1,5,0,immediate Attention,,,,
12490,5417.93,245,04-12-2011,09-12-2011,5,9,9,9,27,9,Top Customer,,,,
12491,460.4,26,01-11-2011,09-12-2011,38,3,3,6,12,3,At Risk/ Need Attention,,,,
12492,263.21,20,07-10-2011,09-12-2011,63,2,2,5,9,2,At Risk/ Need Attention,,,,
12493,416.79,23,27-06-2011,09-12-2011,165,3,3,3,9,2,At Risk/ Need Attention,,,,
12494,1139.35,84,30-11-2011,09-12-2011,9,6,6,9,21,7,Loyal customer,,,,
12497,1043.1,14,19-09-2011,09-12-2011,81,6,1,4,11,3,At Risk/ Need Attention,,,,
12498,403.7,23,18-11-2011,09-12-2011,21,3,3,8,14,4,At Risk/ Need Attention,,,,
12500,4206.27,65,16-11-2011,09-12-2011,23,9,6,7,22,7,Loyal customer,,,,
12501,2089.68,160,28-01-2011,09-12-2011,315,8,8,1,17,5,Loyal customer,,,,
12502,3723.87,147,05-09-2011,09-12-2011,95,9,8,4,21,7,Loyal customer,,,,
12503,-1126,1,06-01-2011,09-12-2011,337,0,0,1,1,0,immediate Attention,,,,
12504,114,15,21-11-2011,09-12-2011,18,0,2,8,10,3,At Risk/ Need Attention,,,,
12505,-4.5,1,11-02-2011,09-12-2011,301,0,0,1,1,0,immediate Attention,,,,
12506,73.5,23,21-04-2011,09-12-2011,232,0,3,2,5,0,immediate Attention,,,,
12507,1258.06,23,28-07-2011,09-12-2011,134,6,3,3,12,3,At Risk/ Need Attention,,,,
12508,398.27,69,13-11-2011,09-12-2011,26,3,6,7,16,5,Loyal customer,,,,
12509,176.5,7,28-02-2011,09-12-2011,284,1,0,1,2,0,immediate Attention,,,,
12510,982.57,33,20-07-2011,09-12-2011,142,6,4,3,13,4,At Risk/ Need Attention,,,,
12512,138.03,34,04-10-2011,09-12-2011,66,0,4,5,9,2,At Risk/ Need Attention,,,,
12513,586.79,36,16-09-2011,09-12-2011,84,4,4,4,12,3,At Risk/ Need Attention,,,,
12514,1017.68,51,17-03-2011,09-12-2011,267,6,5,1,12,3,At Risk/ Need Attention,,,,
12515,383.7,16,21-12-2010,09-12-2011,353,3,2,1,6,1,At Risk/ Need Attention,,,,
12516,1312.06,26,23-09-2011,09-12-2011,77,7,3,4,14,4,At Risk/ Need Attention,,,,
12517,2464.89,286,11-11-2011,09-12-2011,28,8,9,7,24,8,Top Customer,,,,
12518,2056.89,124,09-12-2011,09-12-2011,0,8,7,10,25,8,Top Customer,,,,
12519,340.84,18,07-10-2011,09-12-2011,63,3,2,5,10,3,At Risk/ Need Attention,,,,
12520,2582.51,155,21-09-2011,09-12-2011,79,8,8,4,20,7,Loyal customer,,,,
12521,599.68,38,20-07-2011,09-12-2011,142,4,4,3,11,3,At Risk/ Need Attention,,,,
12522,192.72,12,31-10-2011,09-12-2011,39,1,1,6,8,2,At Risk/ Need Attention,,,,
12523,1745.57,110,08-12-2011,09-12-2011,1,7,7,10,24,8,Top Customer,,,,
12524,4485.72,144,30-11-2011,09-12-2011,9,9,8,9,26,9,Top Customer,,,,
12526,1316.66,71,09-12-2011,09-12-2011,0,7,6,10,23,8,Top Customer,,,,
12527,348.71,18,19-09-2011,09-12-2011,81,3,2,4,9,2,At Risk/ Need Attention,,,,
12528,1922.28,95,30-11-2011,09-12-2011,9,7,7,9,23,8,Top Customer,,,,
12530,1623.63,68,11-10-2011,09-12-2011,59,7,6,5,18,6,Loyal customer,,,,
12531,125.22,17,25-11-2011,09-12-2011,14,0,2,8,10,3,At Risk/ Need Attention,,,,
12532,349.83,16,09-11-2011,09-12-2011,30,3,2,7,12,3,At Risk/ Need Attention,,,,
12534,1089.18,63,01-08-2011,09-12-2011,130,6,6,3,15,5,Loyal customer,,,,
12535,716.35,34,09-09-2011,09-12-2011,91,5,4,4,13,4,At Risk/ Need Attention,,,,
12536,4106.82,273,02-12-2011,09-12-2011,7,9,9,9,27,9,Top Customer,,,,
12538,363.95,21,10-11-2011,09-12-2011,29,3,2,7,12,3,At Risk/ Need Attention,,,,
12539,3852.5,274,17-11-2011,09-12-2011,22,9,9,7,25,8,Top Customer,,,,
12540,13309.04,481,20-11-2011,09-12-2011,19,9,9,8,26,9,Top Customer,,,,
12541,981.18,52,10-11-2011,09-12-2011,29,6,5,7,18,6,Loyal customer,,,,
12544,355.7,20,10-11-2011,09-12-2011,29,3,2,7,12,3,At Risk/ Need Attention,,,,
12545,1000.39,50,25-09-2011,09-12-2011,75,6,5,4,15,5,Loyal customer,,,,
12546,1141.5,70,24-10-2011,09-12-2011,46,6,6,6,18,6,Loyal customer,,,,
12547,207.8,8,26-05-2011,09-12-2011,197,1,1,2,4,0,immediate Attention,,,,
12548,95.2,5,26-06-2011,09-12-2011,166,0,0,3,3,0,immediate Attention,,,,
12550,964.83,57,21-09-2011,09-12-2011,79,6,5,4,15,5,Loyal customer,,,,
12551,168,10,17-12-2010,09-12-2011,357,1,1,1,3,0,immediate Attention,,,,
12552,437.82,20,01-11-2011,09-12-2011,38,3,2,6,11,3,At Risk/ Need Attention,,,,
12553,3652.25,196,01-12-2011,09-12-2011,8,9,8,9,26,9,Top Customer,,,,
12556,603.71,121,20-10-2011,09-12-2011,50,4,7,6,17,5,Loyal customer,,,,
12557,11990.96,33,23-11-2011,09-12-2011,16,9,4,8,21,7,Loyal customer,,,,
12558,2.66E-14,22,08-12-2011,09-12-2011,1,0,3,10,13,4,At Risk/ Need Attention,,,,
12559,536.21,22,02-02-2011,09-12-2011,310,4,3,1,8,2,At Risk/ Need Attention,,,,
12560,2101.39,111,04-12-2011,09-12-2011,5,8,7,9,24,8,Top Customer,,,,
12561,238.85,16,10-02-2011,09-12-2011,302,2,2,1,5,0,immediate Attention,,,,
12562,3781.74,168,01-12-2011,09-12-2011,8,9,8,9,26,9,Top Customer,,,,
12564,456.9,21,23-03-2011,09-12-2011,261,3,2,2,7,1,At Risk/ Need Attention,,,,
12565,131.17,10,03-03-2011,09-12-2011,281,0,1,1,2,0,immediate Attention,,,,
12566,346.7,20,28-09-2011,09-12-2011,72,3,2,4,9,2,At Risk/ Need Attention,,,,
12567,9114.94,463,17-11-2011,09-12-2011,22,9,9,7,25,8,Top Customer,,,,
12569,4064.99,191,07-12-2011,09-12-2011,2,9,8,10,27,9,Top Customer,,,,
12571,519.61,34,31-10-2011,09-12-2011,39,4,4,6,14,4,At Risk/ Need Attention,,,,
12572,1004.72,62,01-12-2011,09-12-2011,8,6,6,9,21,7,Loyal customer,,,,
12573,160.54,28,26-04-2011,09-12-2011,227,1,3,2,6,1,At Risk/ Need Attention,,,,
12574,218.45,11,28-01-2011,09-12-2011,315,1,1,1,3,0,immediate Attention,,,,
12576,1306.98,89,04-11-2011,09-12-2011,35,6,7,6,19,6,Loyal customer,,,,
12577,595.4,148,04-11-2011,09-12-2011,35,4,8,6,18,6,Loyal customer,,,,
12578,2753.36,120,18-11-2011,09-12-2011,21,8,7,8,23,8,Top Customer,,,,
12579,410.72,31,27-09-2011,09-12-2011,73,3,4,4,11,3,At Risk/ Need Attention,,,,
12580,415.7,24,07-04-2011,09-12-2011,246,3,3,2,8,2,At Risk/ Need Attention,,,,
12581,197.71,15,31-10-2011,09-12-2011,39,1,2,6,9,2,At Risk/ Need Attention,,,,
12582,511.36,22,15-04-2011,09-12-2011,238,4,3,2,9,2,At Risk/ Need Attention,,,,
12583,7187.34,251,07-12-2011,09-12-2011,2,9,9,10,28,9,Top Customer,,,,
12584,1893.95,126,06-12-2011,09-12-2011,3,7,8,10,25,8,Top Customer,,,,
12585,1982.81,97,19-04-2011,09-12-2011,234,7,7,2,16,5,Loyal customer,,,,
12586,179.94,12,22-11-2011,09-12-2011,17,1,1,8,10,3,At Risk/ Need Attention,,,,
12587,144,4,02-12-2011,09-12-2011,7,0,0,9,9,2,At Risk/ Need Attention,,,,
12588,214.9,10,31-10-2011,09-12-2011,39,1,1,6,8,2,At Risk/ Need Attention,,,,
12589,646.68,35,11-11-2011,09-12-2011,28,4,4,7,15,5,Loyal customer,,,,
12590,9861.38,70,02-06-2011,09-12-2011,190,9,6,2,17,5,Loyal customer,,,,
12591,452.85,26,26-01-2011,09-12-2011,317,3,3,1,7,1,At Risk/ Need Attention,,,,
12592,437.6,18,08-09-2011,09-12-2011,92,3,2,4,9,2,At Risk/ Need Attention,,,,
12593,418.1,21,23-08-2011,09-12-2011,108,3,2,4,9,2,At Risk/ Need Attention,,,,
12594,3320.22,119,02-11-2011,09-12-2011,37,8,7,6,21,7,Loyal customer,,,,
12596,618.27,27,19-10-2011,09-12-2011,51,4,3,5,12,3,At Risk/ Need Attention,,,,
12597,3683.13,214,20-11-2011,09-12-2011,19,9,9,8,26,9,Top Customer,,,,
12598,3002.68,133,30-11-2011,09-12-2011,9,8,8,9,25,8,Top Customer,,,,
12599,1032.58,62,10-11-2011,09-12-2011,29,6,6,7,19,6,Loyal customer,,,,
12600,2581.04,65,11-11-2011,09-12-2011,28,8,6,7,21,7,Loyal customer,,,,
12601,569.56,29,03-06-2011,09-12-2011,189,4,3,2,9,2,At Risk/ Need Attention,,,,
12602,153.12,12,12-10-2011,09-12-2011,58,1,1,5,7,1,At Risk/ Need Attention,,,,
12603,739.2,3,18-11-2011,09-12-2011,21,5,0,8,13,4,At Risk/ Need Attention,,,,
12604,254.18,16,21-09-2011,09-12-2011,79,2,2,4,8,2,At Risk/ Need Attention,,,,
12605,-7.5,3,09-12-2010,09-12-2011,365,0,0,1,1,0,immediate Attention,,,,
12607,3.34E-13,202,12-10-2011,09-12-2011,58,0,8,5,13,4,At Risk/ Need Attention,,,,
12609,1126.85,60,22-09-2011,09-12-2011,78,6,6,4,16,5,Loyal customer,,,,
12610,2057.99,111,17-11-2011,09-12-2011,22,8,7,7,22,7,Loyal customer,,,,
12611,1193.32,65,18-10-2011,09-12-2011,52,6,6,5,17,5,Loyal customer,,,,
12612,643.59,21,13-10-2011,09-12-2011,57,4,2,5,11,3,At Risk/ Need Attention,,,,
12613,3218.98,163,08-11-2011,09-12-2011,31,8,8,7,23,8,Top Customer,,,,
12614,315.6,20,07-03-2011,09-12-2011,277,2,2,1,5,0,immediate Attention,,,,
12615,2291.19,105,07-12-2011,09-12-2011,2,8,7,10,25,8,Top Customer,,,,
12616,657.25,36,15-09-2011,09-12-2011,85,5,4,4,13,4,At Risk/ Need Attention,,,,
12617,355.53,42,10-11-2011,09-12-2011,29,3,4,7,14,4,At Risk/ Need Attention,,,,
12618,177.31,11,18-11-2011,09-12-2011,21,1,1,8,10,3,At Risk/ Need Attention,,,,
12619,3214.81,95,23-11-2011,09-12-2011,16,8,7,8,23,8,Top Customer,,,,
12620,1339.41,92,25-11-2011,09-12-2011,14,7,7,8,22,7,Loyal customer,,,,
12621,13612.07,474,08-12-2011,09-12-2011,1,9,9,10,28,9,Top Customer,,,,
12622,180.1,11,21-04-2011,09-12-2011,232,1,1,2,4,0,immediate Attention,,,,
12623,305.1,18,08-03-2011,09-12-2011,276,2,2,1,5,0,immediate Attention,,,,
12624,641.13,38,25-08-2011,09-12-2011,106,4,4,4,12,3,At Risk/ Need Attention,,,,
12625,2614.32,91,12-05-2011,09-12-2011,211,8,7,2,17,5,Loyal customer,,,,
12626,6388.35,307,16-11-2011,09-12-2011,23,9,9,7,25,8,Top Customer,,,,
12627,4478.53,230,29-11-2011,09-12-2011,10,9,9,9,27,9,Top Customer,,,,
12628,769.61,43,05-12-2011,09-12-2011,4,5,5,10,20,7,Loyal customer,,,,
12630,1270.88,64,30-11-2011,09-12-2011,9,6,6,9,21,7,Loyal customer,,,,
12631,640.5,31,13-10-2011,09-12-2011,57,4,4,5,13,4,At Risk/ Need Attention,,,,
12633,2140.63,103,12-10-2011,09-12-2011,58,8,7,5,20,7,Loyal customer,,,,
12635,1689.18,101,11-09-2011,09-12-2011,89,7,7,4,18,6,Loyal customer,,,,
12637,5953.25,394,03-10-2011,09-12-2011,67,9,9,5,23,8,Top Customer,,,,
12638,671.69,39,06-11-2011,09-12-2011,33,5,4,6,15,5,Loyal customer,,,,
12639,486.1,22,15-04-2011,09-12-2011,238,4,3,2,9,2,At Risk/ Need Attention,,,,
12640,1174.58,53,16-11-2011,09-12-2011,23,6,5,7,18,6,Loyal customer,,,,
12641,185.9,10,16-08-2011,09-12-2011,115,1,1,3,5,0,immediate Attention,,,,
12642,1013.26,47,14-11-2011,09-12-2011,25,6,5,7,18,6,Loyal customer,,,,
12643,3344.64,24,03-08-2011,09-12-2011,128,8,3,3,14,4,At Risk/ Need Attention,,,,
12644,477.91,31,02-08-2011,09-12-2011,129,4,4,3,11,3,At Risk/ Need Attention,,,,
12645,1755.38,74,06-11-2011,09-12-2011,33,7,6,6,19,6,Loyal customer,,,,
12646,1346.97,45,05-12-2011,09-12-2011,4,7,5,10,22,7,Loyal customer,,,,
12647,3669.92,128,17-11-2011,09-12-2011,22,9,8,7,24,8,Top Customer,,,,
12648,318.05,21,08-07-2011,09-12-2011,154,2,2,3,7,1,At Risk/ Need Attention,,,,
12649,603.71,33,24-08-2011,09-12-2011,107,4,4,4,12,3,At Risk/ Need Attention,,,,
12650,314.44,20,06-12-2011,09-12-2011,3,2,2,10,14,4,At Risk/ Need Attention,,,,
12651,114,9,09-01-2011,09-12-2011,334,0,1,1,2,0,immediate Attention,,,,
12652,914.53,51,21-01-2011,09-12-2011,322,6,5,1,12,3,At Risk/ Need Attention,,,,
12653,2209.85,43,14-07-2011,09-12-2011,148,8,5,3,16,5,Loyal customer,,,,
12654,601.98,38,29-11-2011,09-12-2011,10,4,4,9,17,5,Loyal customer,,,,
12656,3982.72,130,22-11-2011,09-12-2011,17,9,8,8,25,8,Top Customer,,,,
12657,1152.06,56,28-11-2011,09-12-2011,11,6,5,9,20,7,Loyal customer,,,,
12658,686.05,36,21-11-2011,09-12-2011,18,5,4,8,17,5,Loyal customer,,,,
12659,91.68,5,10-11-2011,09-12-2011,29,0,0,7,7,1,At Risk/ Need Attention,,,,
12660,245.1,13,28-11-2011,09-12-2011,11,2,1,9,12,3,At Risk/ Need Attention,,,,
12662,3817.08,232,09-12-2011,09-12-2011,0,9,9,10,28,9,Top Customer,,,,
12664,4863.88,38,01-12-2011,09-12-2011,8,9,4,9,22,7,Loyal customer,,,,
12665,61.75,4,19-01-2011,09-12-2011,324,0,0,1,1,0,immediate Attention,,,,
12666,-227.44,2,15-12-2010,09-12-2011,359,0,0,1,1,0,immediate Attention,,,,
12667,620.13,33,12-10-2011,09-12-2011,58,4,4,5,13,4,At Risk/ Need Attention,,,,
12668,3743.18,168,02-12-2011,09-12-2011,7,9,8,9,26,9,Top Customer,,,,
12669,1607.73,102,12-07-2011,09-12-2011,150,7,7,3,17,5,Loyal customer,,,,
12670,2986.15,94,29-11-2011,09-12-2011,10,8,7,9,24,8,Top Customer,,,,
12672,225.9,10,14-01-2011,09-12-2011,329,1,1,1,3,0,immediate Attention,,,,
12673,610.52,42,04-12-2011,09-12-2011,5,4,4,9,17,5,Loyal customer,,,,
12674,1919.31,91,28-11-2011,09-12-2011,11,7,7,9,23,8,Top Customer,,,,
12676,1331.39,45,15-11-2011,09-12-2011,24,7,5,7,19,6,Loyal customer,,,,
12678,17588.26,167,28-10-2011,09-12-2011,42,9,8,6,23,8,Top Customer,,,,
12679,1058.67,56,18-10-2011,09-12-2011,52,6,5,5,16,5,Loyal customer,,,,
12680,862.81,52,09-12-2011,09-12-2011,0,5,5,10,20,7,Loyal customer,,,,
12681,13677.59,646,25-11-2011,09-12-2011,14,9,9,8,26,9,Top Customer,,,,
12682,12288.22,525,06-12-2011,09-12-2011,3,9,9,10,28,9,Top Customer,,,,
12683,8221.09,362,05-12-2011,09-12-2011,4,9,9,10,28,9,Top Customer,,,,
12684,2283.63,105,02-12-2011,09-12-2011,7,8,7,9,24,8,Top Customer,,,,
12685,2863.08,157,11-11-2011,09-12-2011,28,8,8,7,23,8,Top Customer,,,,
12686,89.14,7,03-12-2010,09-12-2011,371,0,0,1,1,0,immediate Attention,,,,
12688,4873.81,171,18-08-2011,09-12-2011,113,9,8,3,20,7,Loyal customer,,,,
